申	0.014
[⿰卩卩]	0.014
父	0.014
平	0.014
末	0.014
步	0.014
求	0.014
能	0.014
[⿱𫜹冖]	0.013
耒	0.013
足	0.013
丘	0.013
冓	0.013
去	0.013
未	0.013
[覀]	0.013
無	0.013
畏	0.013
眉	0.013
而	0.013
虒	0.013
歺	0.012
㐄	0.012
[⿱吂䏎]	0.012
夨	0.012
囱	0.012
彔	0.012
炏	0.012
高	0.012
旡	0.012
匆	0.012
产	0.012
本	0.012
冉	0.012
亾	0.012
[⿱厂一]	0.012
[⿱丆目]	0.012
甫	0.012
尺	0.012
彗	0.012
朮	0.012
㲋	0.012
直	0.012
麗	0.012
[⿻丨二]	0.011
㠭	0.011
尔	0.011
㕣	0.011
里	0.011
录	0.011
韭	0.011
𠃌	0.011
享	0.011
囧	0.011
系	0.011
亯	0.011
禹	0.011
皃	0.011
珏	0.011
兓	0.011
匃	0.011
朵	0.011
[⿱匕矢]	0.011
气	0.011
甾	0.011
癸	0.011
盾	0.011
隺	0.011
艹	0.01
乛	0.01
𤇾	0.01
㐁	0.01
其	0.01
天	0.01
七	0.01
久	0.01
異	0.01
咼	0.01
页	0.01
太	0.01
夗	0.01
[⿱巛田]	0.01
巿	0.01
戍	0.01
虎	0.01
𠂢	0.01
象	0.01
斦	0.01
面	0.01
丬	0.009
[⿱ス工]	0.009
巛	0.009
凶	0.009
关	0.009
[⿱氏口]	0.009
龙	0.009
[⿱吅⿰⿻己工爻]	0.009
京	0.009
了	0.009
卂	0.009
卝	0.009
㫐	0.009
巫	0.009
永	0.009
[田2]	0.009
冡	0.009
豖	0.009
韦	0.009
[⿷匚⿳丨口丨]	0.008
井	0.008
[九]	0.008
马	0.008
㕚	0.008
帚	0.008
亚	0.008
厄	0.008
叉	0.008
圥	0.008
㓞	0.008
寍	0.008
康	0.008
寺	0.008
㡀	0.008
毌	0.008
母	0.008
畀	0.008
䀠	0.008
身	0.008
血	0.008
剌	0.008
夆	0.008
邕	0.008
㦰	0.008
囚	0.008
[⿰〢⿱𠂉丶]	0.007
雀	0.007
鱼	0.007
兇	0.007
[⿱卝目]	0.007
秝	0.007
曲	0.007
万	0.007
三	0.007
丣	0.007
丸	0.007
杀	0.007
歬	0.007
升	0.007
多	0.007
㥑	0.007
於	0.007
㯥	0.007
明	0.007
燕	0.007
夃	0.007
監	0.007
首	0.007
舄	0.007
隶	0.007
食	0.007
黄	0.007
齐	0.007
亠	0.006
[⿱艹冖2]	0.006
帛	0.006
斥	0.006
爲	0.006
為	0.006
互	0.006
再	0.006
刃	0.006
欮	0.006
敢	0.006
取	0.006
畾	0.006
声	0.006
壺	0.006
尾	0.006
州	0.006
軎	0.006
重	0.006
率	0.006
乑	0.006
袁	0.006
豸	0.006
告	0.006
羍	0.006
黽	0.006
𡿺	0.006
[⿳山一几]	0.005
买	0.005
奧	0.005
奥	0.005
既	0.005
旣	0.005
爭	0.005
争	0.005
茲	0.005
兹	0.005
[⿱吅亞]	0.005
丽	0.005
隼	0.005
妟	0.005
龹	0.005
宜	0.005
四	0.005
或	0.005
賏	0.005
宁	0.005
蜀	0.005
鸟	0.005
屵	0.005
⺌	0.005
並	0.005
厤	0.005
㐅	0.005
爵	0.005
竜	0.005
双	0.005
同	0.005
走	0.005
利	0.005
𠂔	0.005
灬	0.004
𠃊	0.004
亦	0.004
卽	0.004
即	0.004
嗇	0.004
瓦	0.004
𥁕	0.004
昷	0.004
室	0.004
兼	0.004
史	0.004
更	0.004
攸	0.004
猒	0.004
发	0.004
令	0.004
旨	0.004
[⿱卩又]	0.004
吉	0.004
夂	0.004
夔	0.004
亘	0.004
祭	0.004
右	0.004
句	0.004
兮	0.004
[⿰⿳山一几攵]	0.004
咸	0.004
分	0.004
无	0.004
民	0.004
臸	0.004
医	0.004
毐	0.004
肰	0.004
㸚	0.004
疒	0.004
离	0.004
[⿻川八]	0.004
枼	0.004
[⿻口一]	0.004
㚘	0.004
霝	0.004
鬯	0.004
育	0.003
強	0.003
强	0.003
虛	0.003
虚	0.003
㐆	0.003
[⿰豆寸]	0.003
兒	0.003
此	0.003
佘	0.003
[⿳𫜹冖又]	0.003
上	0.003
下	0.003
孨	0.003
兵	0.003
尒	0.003
并	0.003
已	0.003
[⿱⿻一川冖]	0.003
占	0.003
[⿱文厂]	0.003
串	0.003
㤅	0.003
害	0.003
戊	0.003
倝	0.003
戹	0.003
茍	0.003
斉	0.003
亲	0.003
㡭	0.003
光	0.003
華	0.003
匄	0.003
[㔾]	0.003
皮	0.003
鬳	0.003
癹	0.003
瞿	0.003
[⿰歺又]	0.003
[⿱⿰幺幺丱]	0.003
[巴]	0.003
[戶]	0.003
舞	0.003
眔	0.003
市	0.003
臽	0.003
禿	0.003
飛	0.003
黾	0.003
[⿶凵⿱丛从]	0.003
龜	0.003
[⿳山一𡈼]	0.002
昜	0.002
兴	0.002
啬	0.002
彦	0.002
彥	0.002
㐫	0.002
処	0.002
卸	0.002
鬥	0.002
业	0.002
氶	0.002
么	0.002
乌	0.002
乡	0.002
头	0.002
巜	0.002
介	0.002
凢	0.002
敄	0.002
若	0.002
化	0.002
卣	0.002
[谷]	0.002
𢦏	0.002
夒	0.002
[⿰贝贝]	0.002
宷	0.002
宓	0.002
[⿳宀⿻龷一八2]	0.002
肖	0.002
宗	0.002
巵	0.002
付	0.002
廌	0.002
[⿰⿳山一王攵]	0.002
因	0.002
思	0.002
呈	0.002
㪔	0.002
婁	0.002
安	0.002
知	0.002
㸒	0.002
[⿲丿米丨]	0.002
洰	0.002
片	0.002
㹜	0.002
㐬	0.002
㳄	0.002
義	0.002
與	0.002
[⿱艹冖1]	0.002
盍	0.002
臧	0.002
雐	0.002
臤	0.002
弍	0.002
弗	0.002
赤	0.002
灷	0.002
貴	0.002
侌	0.002
㥯	0.002
相	0.002
䩗	0.002
麻	0.002
景	0.002
龶	0.002
黍	0.002
刪	0.001
删	0.001
办	0.001
囪	0.001
官	0.001
老	0.001
墨	0.001
严	0.001
丫	0.001
[⿳爫⿳龴冂厶又]	0.001
亜	0.001
旧	0.001
克	0.001
竞	0.001
嘼	0.001
[⿱𭕄冖2]	0.001
卤	0.001
卮	0.001
卵	0.001
县	0.001
叒	0.001
襄	0.001
啚	0.001
軟	0.001
软	0.001
孓	0.001
貫	0.001
萈	0.001
[⿱丗冖]	0.001
尌	0.001
彐	0.001
彑	0.001
㞷	0.001
及	0.001
秋	0.001
䖒	0.001
尢	0.001
娄	0.001
[⿺𠃊米]	0.001
卬	0.001
华	0.001
弃	0.001
棥	0.001
㱕	0.001
豙	0.001
毋	0.001
[⿱艹両]	0.001
㒼	0.001
斬	0.001
巸	0.001
友	0.001
珡	0.001
弁	0.001
亩	0.001
幸	0.001
禼	0.001
躬	0.001
监	0.001
[弜]	0.001
[⿱卝冂]	0.001
岡	0.001
卒	0.001
𢛳	0.001
㣇	0.001
[⿰臣⿱𠂉丶]	0.001
色	0.001
洛	0.001
